,id,tweet,username,photos,video,name,date,nlikes,nreplies,nretweets,cleaned_tweets
7567,1604502922792144898,Antusias warga Lebak wangi kebayoran lama Selatan ini semakin seru gegap gempita penggemar sepak bola mancanegara yang bergengsi ini semakin seru jutaan penggemar sepak bola piala dunia 2022 semakin akrab dikenal banyak orang semakin menjawarai sepak bola dunia  https://t.co/QqKjp1zheC,AlkatiriU,"['https://pbs.twimg.com/media/FkRW5hLacAAMEa6.jpg', 'https://pbs.twimg.com/media/FkRW51jaUAAX4aD.jpg']",1,Alkatiri Ujang,2022-12-18 22:44:41,0,0,0,antusias warga lebak wangi kebayoran selatan seru gegap gempita gemar sepak bola mancanegara gengsi seru juta gemar sepak bola piala dunia 2022 akrab kenal orang jawara sepak bola dunia
7568,1604502890080788481,Argentina 2-0 Final piala dunia  2022  https://t.co/cg3TJ1jdE4,siti_ngawi,['https://pbs.twimg.com/media/FkRW4BqaEAE79AV.jpg'],1,Siti permatasari ngawi,2022-12-18 22:44:33,192,13,24,argentina final piala dunia 2022
7569,1604502888868634625,LIVE Streaming Piala Dunia 2022  https://t.co/RnOJ9RFSpd lewat @Repelita Online,sriharjanto11,[],0,Harja NT,2022-12-18 22:44:33,1,0,0,live streaming piala dunia 2022 repelita online
7570,1604502870342000642,nobar piala dunia 2022,patrickbahenol,[],0,rik,2022-12-18 22:44:29,1,0,0,nobar piala dunia 2022
7571,1604502866307084288,PREDIKSI Timnas Argentina vs Prancis di final Piala Dunia 2022. Lampu sorot kembali terpusat kepada Lionel Messi dan Kylian Mbappe.  Untuk Informasi Lebih Lanjut Silahkan Join Telegram 😊 Link Telegram :  https://t.co/OZTRwkGtKR  https://t.co/UZfkZIr9Jo,Football_newslx,['https://pbs.twimg.com/media/FkRW0bRVsAAUkdZ.jpg'],1,Football News,2022-12-18 22:44:28,0,0,0,prediksi timnas argentina prancis final piala dunia 2022 lampu sorot pusat lionel messi kylian mbappe informasi silah join telegram link telegram
7572,1604502817640972291,"Menteri Komunikasi dan Digital Fahmi Fadzil hadir di Program Jom Tonton Perlawanan Akhir Piala Dunia 2022, di Kompleks Sukan Ecopark, Pantai Dalam malam ini.  https://t.co/PunpweWrb0",BernamaTV,[],1,BERNAMA TV 🇲🇾,2022-12-18 22:44:16,19,0,1,menteri komunikasi digital fahmi fadzil hadir program jom tonton lawan piala dunia 2022 kompleks sukan ecopark pantai malam
7573,1604502779351142403,Rayyanza anak Raffi Ahmad prediksi Argentina juara Piala Dunia 2022  https://t.co/ReDAY2vl9q,bertaji_com,[],0,Bertaji ID,2022-12-18 22:44:07,0,0,0,rayyanza anak raffi ahmad prediksi argentina juara piala dunia 2022
7574,1604502763584749575,Gol! Angel Di Maria Bawa Argentina Unggul 2-0 Atas Prancis di Final Piala Dunia 2022  https://t.co/7HxeKTQDYB,tvOneNews,[],0,tvOnenews,2022-12-18 22:44:03,10,2,4,gol angel maria bawa argentina unggul prancis final piala dunia 2022
7575,1604502714180067329,Mbappe jadi no.9 Long ball incar kecepatan Mbappe... Kebaca... 😑  🇦🇷 2-0 🇫🇷 #Indonesia #PialaDunia2022 #FIFAWorldCup #WorldCup #WorldCup2022 #PialaDuniaFIFA #Qatar2022 #ARG #FRA #lfl #Final #ARGFRA #Minggu,Galang__Kun,[],0,Galang-Kun,2022-12-18 22:43:51,0,1,0,mbappe long bal incar cepat mbappe baca indonesia piala dunia202 world cup world cup world cup202 piala dunia qatar202 final gfra minggu
7576,1604502670156632067,Live Score Sementara Final Piala Dunia 2022: Argentina vs Prancis 2-0  https://t.co/7LTYBfnZPX,IsuBogor,[],0,Isu Bogor,2022-12-18 22:43:41,0,0,0,live score final piala dunia 2022 argentina prancis
